NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
193 107 0 90 0.3 0.3 0 71
197 103 0 95 0.3 0.3 0 71
213 87 0 100 0.3 0.3 0 71
189 111 0 105 0.3 0.3 0 71
188 112 0 110 0.3 0.3 0 71
175 125 0 115 0.3 0.3 0 71
189 111 0 120 0.3 0.3 0 71
174 126 0 125 0.3 0.3 0 71
183 117 0 130 0.3 0.3 0 71
188 112 0 135 0.3 0.3 0 71
197 103 0 140 0.3 0.3 0 71
173 127 0 145 0.3 0.3 0 71
300 0 0 0 0.3 0.3 0 76
173 127 0 5 0.3 0.3 0 76
194 106 0 10 0.3 0.3 0 76
210 90 0 15 0.3 0.3 0 76
157 143 0 20 0.3 0.3 0 76
189 111 0 25 0.3 0.3 0 76
172 128 0 30 0.3 0.3 0 76
191 109 0 35 0.3 0.3 0 76
180 120 0 40 0.3 0.3 0 76
178 122 0 45 0.3 0.3 0 76
192 108 0 50 0.3 0.3 0 76
174 126 0 55 0.3 0.3 0 76
203 97 0 60 0.3 0.3 0 76
186 114 0 65 0.3 0.3 0 76
173 127 0 70 0.3 0.3 0 76
179 121 0 75 0.3 0.3 0 76
164 136 0 80 0.3 0.3 0 76
190 110 0 85 0.3 0.3 0 76
193 107 0 90 0.3 0.3 0 76
179 121 0 95 0.3 0.3 0 76
190 110 0 100 0.3 0.3 0 76
193 107 0 105 0.3 0.3 0 76
182 118 0 110 0.3 0.3 0 76
183 117 0 115 0.3 0.3 0 76
164 136 0 120 0.3 0.3 0 76
189 111 0 125 0.3 0.3 0 76
165 135 0 130 0.3 0.3 0 76
186 114 0 135 0.3 0.3 0 76
173 127 0 140 0.3 0.3 0 76
193 107 0 145 0.3 0.3 0 76
300 0 0 0 0.3 0.3 0 81
176 124 0 5 0.3 0.3 0 81
170 130 0 10 0.3 0.3 0 81
169 131 0 15 0.3 0.3 0 81
183 117 0 20 0.3 0.3 0 81
195 105 0 25 0.3 0.3 0 81
158 142 0 30 0.3 0.3 0 81
179 121 0 35 0.3 0.3 0 81
189 111 0 40 0.3 0.3 0 81
186 114 0 45 0.3 0.3 0 81
181 119 0 50 0.3 0.3 0 81
179 121 0 55 0.3 0.3 0 81
178 122 0 60 0.3 0.3 0 81
165 135 0 65 0.3 0.3 0 81
175 125 0 70 0.3 0.3 0 81
184 116 0 75 0.3 0.3 0 81
174 126 0 80 0.3 0.3 0 81
178 122 0 85 0.3 0.3 0 81
181 119 0 90 0.3 0.3 0 81
150 150 0 95 0.3 0.3 0 81
192 108 0 100 0.3 0.3 0 81
189 111 0 105 0.3 0.3 0 81
171 129 0 110 0.3 0.3 0 81
186 114 0 115 0.3 0.3 0 81
171 129 0 120 0.3 0.3 0 81
181 119 0 125 0.3 0.3 0 81
192 108 0 130 0.3 0.3 0 81
175 125 0 135 0.3 0.3 0 81
173 127 0 140 0.3 0.3 0 81
189 111 0 145 0.3 0.3 0 81
300 0 0 0 0.3 0.3 0 86
193 107 0 5 0.3 0.3 0 86
195 105 0 10 0.3 0.3 0 86
195 105 0 15 0.3 0.3 0 86
169 131 0 20 0.3 0.3 0 86
186 114 0 25 0.3 0.3 0 86
175 125 0 30 0.3 0.3 0 86
173 127 0 35 0.3 0.3 0 86
165 135 0 40 0.3 0.3 0 86
179 121 0 45 0.3 0.3 0 86
179 121 0 50 0.3 0.3 0 86
197 103 0 55 0.3 0.3 0 86
210 90 0 60 0.3 0.3 0 86
206 94 0 65 0.3 0.3 0 86
181 119 0 70 0.3 0.3 0 86
196 104 0 75 0.3 0.3 0 86
204 96 0 80 0.3 0.3 0 86
180 120 0 85 0.3 0.3 0 86
179 121 0 90 0.3 0.3 0 86
182 118 0 95 0.3 0.3 0 86
186 114 0 100 0.3 0.3 0 86
177 123 0 105 0.3 0.3 0 86
196 104 0 110 0.3 0.3 0 86
178 122 0 115 0.3 0.3 0 86
193 107 0 120 0.3 0.3 0 86
186 114 0 125 0.3 0.3 0 86
209 91 0 130 0.3 0.3 0 86
180 120 0 135 0.3 0.3 0 86
175 125 0 140 0.3 0.3 0 86
176 124 0 145 0.3 0.3 0 86
300 0 0 0 0.3 0.3 0 91
161 139 0 5 0.3 0.3 0 91
177 123 0 10 0.3 0.3 0 91
169 131 0 15 0.3 0.3 0 91
179 121 0 20 0.3 0.3 0 91
183 117 0 25 0.3 0.3 0 91
188 112 0 30 0.3 0.3 0 91
196 104 0 35 0.3 0.3 0 91
193 107 0 40 0.3 0.3 0 91
181 119 0 45 0.3 0.3 0 91
180 120 0 50 0.3 0.3 0 91
170 130 0 55 0.3 0.3 0 91
172 128 0 60 0.3 0.3 0 91
191 109 0 65 0.3 0.3 0 91
171 129 0 70 0.3 0.3 0 91
192 108 0 75 0.3 0.3 0 91
191 109 0 80 0.3 0.3 0 91
179 121 0 85 0.3 0.3 0 91
174 126 0 90 0.3 0.3 0 91
193 107 0 95 0.3 0.3 0 91
193 107 0 100 0.3 0.3 0 91
